# *** Generated by BoomWorks.Org(C) SourceCounter 2.5.5.9 *** 
# *** Author: boomworks@hotmail.com *** 


Folder,File,Type,Lines,Code lines,Code//Comment,Comment lines,Blank lines,Size,Man-Day,Cost,UT Cases,UT Defects,IT Cases,IT Defects

C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool,Program.cs,.cs,35,32,3,0,0,1185,0.16,80.00,1.60,0.32,0.64,0.06
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmAddConnection.cs,.cs,302,244,44,0,14,14709,1.22,610.00,12.20,2.44,4.88,0.49
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmAddConnection.Designer.cs,.cs,589,464,119,0,6,32453,2.32,1160.00,23.20,4.64,9.28,0.93
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmCollectionIndex.cs,.cs,154,118,25,0,11,7078,0.59,295.00,5.90,1.18,2.36,0.24
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmCollectionIndex.Designer.cs,.cs,281,207,68,0,6,14454,1.03,517.50,10.35,2.07,4.14,0.41
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmConnect.cs,.cs,107,77,28,0,2,4070,0.38,192.50,3.85,0.77,1.54,0.15
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmConnect.Designer.cs,.cs,135,94,35,0,6,6233,0.47,235.00,4.70,0.94,1.88,0.19
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmConvertSql.cs,.cs,39,38,0,0,1,1459,0.19,95.00,1.90,0.38,0.76,0.08
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmConvertSql.Designer.cs,.cs,98,66,26,0,6,4221,0.33,165.00,3.30,0.66,1.32,0.13
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmDistinct.cs,.cs,99,84,11,0,4,3795,0.42,210.00,4.20,0.84,1.68,0.17
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmDistinct.Designer.cs,.cs,109,74,29,0,6,4788,0.37,185.00,3.70,0.74,1.48,0.15
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmDosCommand.cs,.cs,72,55,15,0,2,3065,0.28,137.50,2.75,0.55,1.10,0.11
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmDosCommand.Designer.cs,.cs,193,140,47,0,6,9537,0.70,350.00,7.00,1.40,2.80,0.28
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmElement.cs,.cs,80,50,29,0,1,2741,0.25,125.00,2.50,0.50,1.00,0.10
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmElement.Designer.cs,.cs,96,63,26,0,7,4062,0.31,157.50,3.15,0.63,1.26,0.13
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmevalJS.cs,.cs,91,74,16,0,1,3593,0.37,185.00,3.70,0.74,1.48,0.15
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmevalJS.Designer.cs,.cs,145,101,38,0,6,6667,0.50,252.50,5.05,1.01,2.02,0.20
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmGroup.cs,.cs,195,151,37,0,7,8487,0.75,377.50,7.55,1.51,3.02,0.30
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmGroup.Designer.cs,.cs,362,270,86,0,6,18608,1.35,675.00,13.50,2.70,5.40,0.54
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmMain.cs,.cs,1858,1409,381,1,67,93710,7.05,3525.00,70.50,14.10,28.20,2.82
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmMain.Designer.cs,.cs,1124,801,311,0,12,68758,4.01,2002.50,40.05,8.01,16.02,1.60
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmMapReduce.cs,.cs,89,65,20,0,4,3828,0.32,162.50,3.25,0.65,1.30,0.13
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmMapReduce.Designer.cs,.cs,198,142,50,0,6,9802,0.71,355.00,7.10,1.42,2.84,0.28
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmOption.cs,.cs,59,58,1,0,0,3001,0.29,145.00,2.90,0.58,1.16,0.12
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmOption.Designer.cs,.cs,206,155,44,0,7,9663,0.77,387.50,7.75,1.55,3.10,0.31
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmQuery.cs,.cs,222,167,46,0,9,9970,0.83,417.50,8.35,1.67,3.34,0.33
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmQuery.Designer.cs,.cs,163,116,41,0,6,7576,0.58,290.00,5.80,1.16,2.32,0.23
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmReplset.cs,.cs,88,73,14,0,1,4044,0.37,182.50,3.65,0.73,1.46,0.15
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmReplset.Designer.cs,.cs,151,106,38,0,7,7034,0.53,265.00,5.30,1.06,2.12,0.21
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmServiceStatus.cs,.cs,155,126,21,0,8,7050,0.63,315.00,6.30,1.26,2.52,0.25
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmServiceStatus.Designer.cs,.cs,202,148,47,0,7,10186,0.74,370.00,7.40,1.48,2.96,0.30
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmShardingConfig.cs,.cs,172,131,39,0,2,7371,0.65,327.50,6.55,1.31,2.62,0.26
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmShardingConfig.Designer.cs,.cs,252,184,62,0,6,12968,0.92,460.00,9.20,1.84,3.68,0.37
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmUser.cs,.cs,64,49,15,0,0,2548,0.25,122.50,2.45,0.49,0.98,0.10
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmUser.Designer.cs,.cs,167,123,38,0,6,8275,0.62,307.50,6.15,1.23,2.46,0.25
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Module,BsonValueEx.cs,.cs,112,80,29,0,3,3150,0.40,200.00,4.00,0.80,1.60,0.16
