# *** Generated by BoomWorks.Org(C) SourceCounter 2.5.5.9 *** 
# *** Author: boomworks@hotmail.com *** 


Folder,File,Type,Lines,Code lines,Code//Comment,Comment lines,Blank lines,Size,Man-Day,Cost,UT Cases,UT Defects,IT Cases,IT Defects

C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool,Program.cs,.cs,35,32,3,0,0,1186,0.16,80.00,1.60,0.32,0.64,0.06
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmAddConnection.cs,.cs,302,244,44,0,14,14709,1.22,610.00,12.20,2.44,4.88,0.49
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmAddConnection.Designer.cs,.cs,589,464,119,0,6,32454,2.32,1160.00,23.20,4.64,9.28,0.93
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmCollectionIndex.cs,.cs,154,118,25,0,11,7078,0.59,295.00,5.90,1.18,2.36,0.24
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmCollectionIndex.Designer.cs,.cs,281,207,68,0,6,14454,1.03,517.50,10.35,2.07,4.14,0.41
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmConnect.cs,.cs,107,77,28,0,2,4070,0.38,192.50,3.85,0.77,1.54,0.15
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmConnect.Designer.cs,.cs,135,94,35,0,6,6233,0.47,235.00,4.70,0.94,1.88,0.19
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmConvertSql.cs,.cs,39,38,0,0,1,1459,0.19,95.00,1.90,0.38,0.76,0.08
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmConvertSql.Designer.cs,.cs,98,66,26,0,6,4221,0.33,165.00,3.30,0.66,1.32,0.13
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmDistinct.cs,.cs,99,84,11,0,4,3795,0.42,210.00,4.20,0.84,1.68,0.17
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmDistinct.Designer.cs,.cs,109,74,29,0,6,4788,0.37,185.00,3.70,0.74,1.48,0.15
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmDosCommand.cs,.cs,64,48,15,0,1,2337,0.24,120.00,2.40,0.48,0.96,0.10
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmDosCommand.Designer.cs,.cs,193,140,47,0,6,9537,0.70,350.00,7.00,1.40,2.80,0.28
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmevalJS.cs,.cs,91,74,16,0,1,3593,0.37,185.00,3.70,0.74,1.48,0.15
C:\Work Shop\MagicMongoDBTool\MagicMongoDBTool\Form,frmevalJS.Designer.cs,.cs,145,101,38,0,6,6667,0.50,252.50,5.05,1.01,2.02,0.20
